Sex, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Iasi, Year 2011, Number of persons, 769
Total, Iasi, Year 2012, Number of persons, 678
Total, Iasi, Year 2013, Number of persons, 609
Total, Iasi, Year 2014, Number of persons, 542
Total, Iasi, Year 2015, Number of persons, 829
Total, Iasi, Year 2016, Number of persons, 1289
Total, Iasi, Year 2017, Number of persons, 1491
Total, Iasi, Year 2018, Number of persons, 1876
Total, Iasi, Year 2019, Number of persons, 1925
Total, Iasi, Year 2020, Number of persons, 1831
Total, Iasi, Year 2021, Number of persons, 3027
Total, Iasi, Year 2022, Number of persons, 4953
Total, Iasi, Year 2023, Number of persons, 5985
Total, Iasi, Year 2024, Number of persons, 8731
Total, Neamt, Year 1990, Number of persons, 167
Total, Neamt, Year 1991, Number of persons, 240
Total, Neamt, Year 1992, Number of persons, 132
Total, Neamt, Year 1993, Number of persons, 94
Total, Neamt, Year 1994, Number of persons, 139
Total, Neamt, Year 1995, Number of persons, 194
Total, Neamt, Year 1996, Number of persons, 234
Total, Neamt, Year 1997, Number of persons, 274
Total, Neamt, Year 1998, Number of persons, 235
Total, Neamt, Year 1999, Number of persons, 192
Total, Neamt, Year 2000, Number of persons, 339
Total, Neamt, Year 2001, Number of persons, 376
Total, Neamt, Year 2002, Number of persons, 313
Total, Neamt, Year 2003, Number of persons, 294
Total, Neamt, Year 2004, Number of persons, 374
Total, Neamt, Year 2005, Number of persons, 533
Total, Neamt, Year 2006, Number of persons, 741
Total, Neamt, Year 2007, Number of persons, 422
Total, Neamt, Year 2008, Number of persons, 319
Total, Neamt, Year 2009, Number of persons, 287
Total, Neamt, Year 2010, Number of persons, 220
Total, Neamt, Year 2011, Number of persons, 345
Total, Neamt, Year 2012, Number of persons, 361
Total, Neamt, Year 2013, Number of persons, 326
Total, Neamt, Year 2014, Number of persons, 289
Total, Neamt, Year 2015, Number of persons, 375
Total, Neamt, Year 2016, Number of persons, 608
Total, Neamt, Year 2017, Number of persons, 578
Total, Neamt, Year 2018, Number of persons, 703
Total, Neamt, Year 2019, Number of persons, 772
Total, Neamt, Year 2020, Number of persons, 559
Total, Neamt, Year 2021, Number of persons, 891
Total, Neamt, Year 2022, Number of persons, 1283
Total, Neamt, Year 2023, Number of persons, 1327
Total, Neamt, Year 2024, Number of persons, 1211
Total, Suceava, Year 1990, Number of persons, 814
Total, Suceava, Year 1991, Number of persons, 804
Total, Suceava, Year 1992, Number of persons, 330
Total, Suceava, Year 1993, Number of persons, 164
Total, Suceava, Year 1994, Number of persons, 191
Total, Suceava, Year 1995, Number of persons, 344
Total, Suceava, Year 1996, Number of persons, 305
Total, Suceava, Year 1997, Number of persons, 321
Total, Suceava, Year 1998, Number of persons, 317
Total, Suceava, Year 1999, Number of persons, 276
Total, Suceava, Year 2000, Number of persons, 469
Total, Suceava, Year 2001, Number of persons, 498
Total, Suceava, Year 2002, Number of persons, 383
Total, Suceava, Year 2003, Number of persons, 408
Total, Suceava, Year 2004, Number of persons, 439
Total, Suceava, Year 2005, Number of persons, 268
Total, Suceava, Year 2006, Number of persons, 389
Total, Suceava, Year 2007, Number of persons, 235
Total, Suceava, Year 2008, Number of persons, 226
Total, Suceava, Year 2009, Number of persons, 228
Total, Suceava, Year 2010, Number of persons, 236
Total, Suceava, Year 2011, Number of persons, 987
Total, Suceava, Year 2012, Number of persons, 1072
Total, Suceava, Year 2013, Number of persons, 760
Total, Suceava, Year 2014, Number of persons, 253
Total, Suceava, Year 2015, Number of persons, 345
