Age group and ages, Sex, Urban and rural areas, Macroregions  development regions and counties, Years, MU: Persons, Valoare
Total, Total, Total, Constanta, Year 2006, Number of persons, 761295
Total, Total, Total, Constanta, Year 2007, Number of persons, 763144
Total, Total, Total, Constanta, Year 2008, Number of persons, 765703
Total, Total, Total, Constanta, Year 2009, Number of persons, 768296
Total, Total, Total, Constanta, Year 2010, Number of persons, 770028
Total, Total, Total, Constanta, Year 2011, Number of persons, 771444
Total, Total, Total, Galati, Year 1992, Number of persons, 651826
Total, Total, Total, Galati, Year 1993, Number of persons, 652646
Total, Total, Total, Galati, Year 1994, Number of persons, 653243
Total, Total, Total, Galati, Year 1995, Number of persons, 653435
Total, Total, Total, Galati, Year 1996, Number of persons, 653043
Total, Total, Total, Galati, Year 1997, Number of persons, 652111
Total, Total, Total, Galati, Year 1998, Number of persons, 652442
Total, Total, Total, Galati, Year 1999, Number of persons, 653085
Total, Total, Total, Galati, Year 2000, Number of persons, 653842
Total, Total, Total, Galati, Year 2001, Number of persons, 654787
Total, Total, Total, Galati, Year 2002, Number of persons, 654216
Total, Total, Total, Galati, Year 2003, Number of persons, 652793
Total, Total, Total, Galati, Year 2004, Number of persons, 651296
Total, Total, Total, Galati, Year 2005, Number of persons, 649720
Total, Total, Total, Galati, Year 2006, Number of persons, 648638
Total, Total, Total, Galati, Year 2007, Number of persons, 647030
Total, Total, Total, Galati, Year 2008, Number of persons, 645697
Total, Total, Total, Galati, Year 2009, Number of persons, 644030
Total, Total, Total, Galati, Year 2010, Number of persons, 642573
Total, Total, Total, Galati, Year 2011, Number of persons, 640498
Total, Total, Total, Tulcea, Year 1992, Number of persons, 271516
Total, Total, Total, Tulcea, Year 1993, Number of persons, 270659
Total, Total, Total, Tulcea, Year 1994, Number of persons, 269867
Total, Total, Total, Tulcea, Year 1995, Number of persons, 268808
Total, Total, Total, Tulcea, Year 1996, Number of persons, 268144
Total, Total, Total, Tulcea, Year 1997, Number of persons, 267104
Total, Total, Total, Tulcea, Year 1998, Number of persons, 266196
Total, Total, Total, Tulcea, Year 1999, Number of persons, 265297
Total, Total, Total, Tulcea, Year 2000, Number of persons, 264449
Total, Total, Total, Tulcea, Year 2001, Number of persons, 263821
Total, Total, Total, Tulcea, Year 2002, Number of persons, 262788
Total, Total, Total, Tulcea, Year 2003, Number of persons, 261637
Total, Total, Total, Tulcea, Year 2004, Number of persons, 260575
